ax,ay,az,gx,gy,gz,label
-0.5124512,0.7861328,0.8203125,-225.7634,-132.6565,250.1298,10
0.8601074,0.3007813,0.6904297,-41.25191,-54.34351,-8.267176,10
0.6655273,1.282715,1.006348,-137.1679,48.07634,-205.3359,10
0.07861328,0.4311523,0.7822266,250.1298,-137.9313,106.8244,10
-0.1655273,0.3354492,0.4853516,-77.15267,90.10687,69.29008,10
-0.6662598,0.5908203,1.377197,-63.24427,109.7634,-94.48855,10
-0.07275391,0.06958008,1.060059,-248.1832,-141.1069,-19.9771,10
-0.2983398,0.1323242,0.815918,26.0687,49.83206,-248.1832,10
0.119873,-0.3623047,0.1982422,45.29008,-12.34351,-136.0534,10
0.6938477,-0.3684082,1.096924,119.1069,-27.70992,-40.16794,10
-0.7321777,-0.5354004,1.999939,250.1298,-27.42748,21.70992,10
0.6335449,-0.1901855,1.786133,250.1298,-64.29008,114.7023,10
0.3974609,-0.1611328,0.8820801,-13.48092,-0.7022901,-6.908397,10
0.7529297,0.3981934,1.658936,-147.2824,64.57252,-118.4885,10
0.1357422,0.215332,0.3125,-169.0916,-58.17557,227.3053,10
0.7980957,0.9125977,1.416748,128.9313,-12.25954,-217.2214,10
0.1999512,0.246582,1.580811,-53.69466,4.419847,6.251908,10
-0.2893066,0.2915039,1.572754,96.9313,250.1298,-19.45038,10
0.06958008,0.2460938,0.5476074,250.1298,-117.3969,17.66412,10
0.5786133,0.3718262,1.349609,-106.771,44.28244,-60.22137,10
0.5422363,0.5917969,1.011719,-248.1832,102.7939,93.68702,10
1.337891,-0.06225586,1.875977,-19.9313,-27.15267,170.6107,10
0.6342773,0.7199707,1.708252,-189.7863,24.89313,49.74046,10
1.098633,-0.2941895,-0.4077148,73.29771,-33.92366,72.85497,10
-0.2893066,0.2915039,1.572754,96.9313,250.1298,-19.45038,10
0.04541016,-0.3132324,-0.1469727,187.4504,-63.12977,44.20611,10
-0.4616699,-0.05737305,1.166016,230.5114,109.8702,-228.0687,10
0.3847656,0.3383789,1.015137,-76.19084,-248.1832,110.6336,10
0.6767578,-0.06274414,0.9033203,-129.687,-202.2672,-176.2901,10
0.8549805,0.04394531,1.006348,-205.4657,-26.33588,44.83206,10
-0.005371094,0.4155273,1.721436,57.42748,-44.37405,-92.31298,10
0.2507324,-0.1174316,0.9182129,-47.00763,62.25191,-222.8855,10
-0.01806641,-0.2675781,1.568359,-232.0,-65.51908,-85.84733,10
-0.769043,0.673584,0.7124023,-202.6718,-66.45802,250.1298,10
0.07861328,0.4311523,0.7822266,250.1298,-137.9313,106.8244,10
0.1650391,0.5534668,0.8120117,116.8321,190.9084,250.1298,10
0.1933594,-0.08374023,0.02807617,-93.29771,96.16794,-40.54198,10
-0.5270996,0.1103516,0.7705078,-94.03817,-104.7939,153.855,10
0.1264648,0.1325684,0.3415527,-73.96183,6.755725,-57.90076,10
0.5490723,0.5883789,0.3117676,2.519084,14.39695,-93.41222,10
0.119873,-0.3623047,0.1982422,45.29008,-12.34351,-136.0534,10
0.6113281,0.1992188,0.4897461,113.2901,-126.6947,129.2214,10
-0.2229004,0.09960938,-0.2492676,-246.4122,22.48855,-29.56489,10
0.1782227,-0.06542969,0.3127441,-119.3664,83.72519,-11.25954,10
-1.069092,0.3146973,1.150391,250.1298,-48.00763,49.55725,10
1.065186,0.1428223,0.7954102,250.1298,-9.473283,-0.1832061,10
0.690918,0.6079102,1.999939,-19.41221,-6.938931,-247.0534,10
1.510254,0.2832031,1.118164,-56.92366,-33.68702,73.32825,10
0.5422363,0.5917969,1.011719,-248.1832,102.7939,93.68702,10
0.7580566,-0.06469727,1.519775,197.9771,106.4809,-246.2366,10
1.999939,0.1760254,-0.8977051,250.1298,-99.26717,-95.08397,10
-0.1757813,0.237793,0.6018066,-86.00764,117.0153,-211.2061,10
-0.01806641,-0.2675781,1.568359,-232.0,-65.51908,-85.84733,10
-0.222168,-0.8312988,1.017578,103.8855,-47.48092,-33.84733,10
0.3032227,0.3476563,1.206299,-173.1908,-148.2137,166.4275,10
0.1816406,0.40625,0.4555664,62.9084,22.08397,-146.7634,10
0.4326172,-0.2529297,0.9145508,103.5954,-57.93893,114.5115,10
0.1782227,-0.06542969,0.3127441,-119.3664,83.72519,-11.25954,10
1.098633,-0.2941895,-0.4077148,73.29771,-33.92366,72.85497,10
0.5456543,0.3095703,1.313965,-70.09924,13.38168,-6.160306,10
-0.3798828,0.2128906,1.999939,-190.6183,-197.2366,-30.19847,10
1.999939,0.4558105,1.421387,0.4580153,80.38168,-5.435114,10
-0.4758301,-0.4580078,1.762939,250.1298,-56.31298,-2.442748,10
-0.7233887,0.1906738,0.7416992,250.1298,15.80153,44.70992,10
0.06420898,-0.1958008,-0.09082031,250.1298,-124.771,-52.51908,10
0.3662109,0.3857422,0.9470215,241.0229,210.8321,-203.687,10
0.7529297,0.3981934,1.658936,-147.2824,64.57252,-118.4885,10
-0.2890625,0.1564941,0.3210449,164.1221,-118.1756,250.1298,10
-0.5327148,0.5791016,1.999939,199.3053,97.07633,-248.1832,10
-0.3059082,0.3269043,1.703857,-96.229,-248.1832,-64.25191,10
0.7070313,-0.1542969,0.7561035,-1.80916,-30.42748,-32.66412,10
-0.2717285,0.4716797,0.5092773,250.1298,-98.25191,143.0687,10
0.6342773,0.7199707,1.708252,-189.7863,24.89313,49.74046,10
-0.2805176,0.2619629,0.2912598,-79.75572,-34.92366,25.93893,10
0.4396973,0.2702637,0.3845215,-130.1374,84.94656,-142.6947,10
0.9335938,0.9272461,1.250244,-102.3664,-46.69466,-201.0382,10
0.4799805,-0.08203125,0.8408203,-11.25191,4.641222,22.69466,10
-0.6662598,0.5908203,1.377197,-63.24427,109.7634,-94.48855,10
0.2114258,0.3815918,1.534912,-193.5267,26.84733,-97.21374,10
0.5349121,-0.01318359,-0.06298828,250.1298,-107.374,23.8855,10
1.109131,0.9233398,1.999939,101.0458,-45.68702,-92.64886,10
-0.2805176,0.2619629,0.2912598,-79.75572,-34.92366,25.93893,10
-0.6826172,-0.2653809,1.999939,143.0611,63.44275,-42.23664,10
0.7980957,0.9125977,1.416748,128.9313,-12.25954,-217.2214,10
1.510254,0.2832031,1.118164,-56.92366,-33.68702,73.32825,10
1.999939,-1.224121,0.4533691,-164.1221,-11.84733,69.17558,10
0.02368164,-0.2102051,1.50708,-43.27481,33.68702,3.923664,10
0.4799805,-0.08203125,0.8408203,-11.25191,4.641222,22.69466,10
0.3974609,-0.1611328,0.8820801,-13.48092,-0.7022901,-6.908397,10
-0.5510254,0.046875,-0.5161133,92.06107,-92.87786,79.37405,10
0.810791,0.03930664,1.772217,-57.99237,-6.053435,57.63359,10
-0.1455078,-0.04956055,-0.2792969,-248.1832,-29.26718,-46.52672,10
0.3513184,-0.01342773,0.6345215,-63.63359,-248.1832,1.862595,10
0.1328125,0.05078125,0.4421387,250.1298,87.87023,-141.0382,10
0.1965332,0.1535645,0.7226563,-146.1756,-27.87023,164.6641,10
0.3444824,0.5244141,1.328369,-144.1832,-59.68702,250.1298,10
1.029785,0.2966309,1.77417,-178.1756,-75.51145,250.1298,10
-0.171875,0.3330078,0.8254395,221.3512,209.3435,-248.1832,10
1.030029,-0.1982422,1.791992,250.1298,-248.1832,78.68702,10
0.963623,0.4575195,0.7971191,79.07633,46.1145,-248.1832,10
0.2507324,-0.1174316,0.9182129,-47.00763,62.25191,-222.8855,10
0.06738281,0.01489258,0.9755859,-2.854962,-1.603053,-0.1984733,10
0.3513184,-0.01342773,0.6345215,-63.63359,-248.1832,1.862595,10
-0.7321777,-0.5354004,1.999939,250.1298,-27.42748,21.70992,10
-0.8151855,0.2124023,0.392334,-18.83969,67.19847,-169.8855,10
-0.237793,0.7009277,0.795166,219.687,20.67175,-145.3588,10
0.2768555,0.2980957,0.4645996,250.1298,-41.25954,105.5573,10
0.5490723,0.5883789,0.3117676,2.519084,14.39695,-93.41222,10
0.3259277,0.9580078,0.7670898,-18.93893,-92.52672,-248.1832,10
0.2485352,0.206543,0.6218262,-143.9542,68.23664,-79.90076,10
1.109131,0.9233398,1.999939,101.0458,-45.68702,-92.64886,10
1.011475,-0.5817871,0.4294434,89.38168,-2.908397,68.29771,10
0.8601074,0.3007813,0.6904297,-41.25191,-54.34351,-8.267176,10
1.217285,0.1418457,1.095215,6.183206,-22.06107,-81.39695,10
-0.5124512,0.7861328,0.8203125,-225.7634,-132.6565,250.1298,10
-0.2097168,-0.434082,1.999939,169.5573,12.53435,20.18321,10
0.01489258,0.07250977,1.507813,-7.274809,66.42748,-99.9542,10
0.1633301,-0.08886719,0.1835938,150.0687,-66.58015,60.53435,10
-0.2058105,0.1169434,0.02416992,-220.7176,29.99237,54.8168,10
-1.368652,0.2341309,1.999939,225.542,49.25954,-59.32061,10
0.6333008,0.5534668,1.153564,-216.4198,-117.6031,250.1298,10
1.999939,0.03540039,1.940674,126.7786,46.36641,15.32824,10
-0.954834,0.4570313,1.050049,-50.48092,-35.05344,-248.1832,10
0.449707,-0.0769043,-0.314209,41.12214,-66.75572,207.7634,10
-0.3798828,0.2128906,1.999939,-190.6183,-197.2366,-30.19847,10
0.7858887,-0.01342773,0.8493652,-248.1832,-248.1832,-78.08397,10
-1.368652,0.2341309,1.999939,225.542,49.25954,-59.32061,10
0.3574219,0.1179199,0.4919434,77.9313,-68.35878,68.43511,10
0.6296387,0.007568359,0.04882813,-26.32061,-86.41222,250.1298,10
