,mean,std,mean ± std
ax,0.08089747897666069,0.0047321969216102076,0.081 ± 0.005
ay,0.0194775570978456,0.003294003485253323,0.019 ± 0.003
az,0.9613530979652901,0.004560371809040515,0.961 ± 0.005
gx,-2.8582052713943744,0.1008103463285551,-2.858 ± 0.101
gy,-1.5828547863554756,0.0964357907493173,-1.583 ± 0.096
gz,-0.3094138499341712,0.10135859638874509,-0.309 ± 0.101
