,mean,std,mean ± std
ax,-0.004340278873239436,0.20457515514320973,-0.004 ± 0.205
ay,0.0069103014084507045,0.21431077142886948,0.007 ± 0.214
az,-0.042163200000000005,0.42383150435713174,-0.042 ± 0.424
gx,-0.0007604362816901421,0.09473161066285936,-0.001 ± 0.095
gy,-0.006763448507042252,0.13701399099897618,-0.007 ± 0.137
gz,-424551.25640404853,7364427.31202698,-424551.256 ± 7364427.312
