,mean,std,mean ± std
ax,0.20358459901273,0.6500791934315495,0.204 ± 0.65
ay,0.1955588890855193,0.3466205900451244,0.196 ± 0.347
az,0.925815465200089,0.6929050499422281,0.926 ± 0.693
gx,0.6883977991691373,160.4849824379661,0.688 ± 160.485
gy,-7.537165938605341,90.47443163059953,-7.537 ± 90.474
gz,-10.536168670682494,140.76290259254756,-10.536 ± 140.763
